cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,poisonous
x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p,e
b,s,y,f,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e
?,s,b,t,l,f,w,n,p,t,e,s,?,w,w,?,?,o,p,n,v,d,e
x,s,w,t,c,f,?,n,n,t,b,s,s,w,w,p,w,o,p,u,?,d,e
f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p,e
x,y,?,t,p,f,c,n,w,e,e,?,s,w,w,p,w,o,p,n,v,u,p
f,y,n,t,a,f,c,b,n,e,r,s,y,b,w,p,w,o,p,?,y,g,e
x,s,n,f,n,f,w,b,k,t,?,f,s,w,w,p,w,o,e,?,?,g,e
x,y,w,?,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g,p
f,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,?,o,?,n,y,u,e
x,f,g,f,?,f,w,b,n,t,e,s,s,w,w,?,w,o,e,n,s,g,e
c,y,y,t,l,f,c,b,w,e,r,s,?,w,w,p,w,o,p,k,s,g,e
x,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,?,k,s,g,e
b,s,w,t,a,f,c,b,w,e,c,?,s,w,w,p,w,?,p,k,s,g,e
x,s,w,t,l,?,c,?,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
f,y,n,t,l,f,c,b,w,e,?,s,y,w,w,p,?,o,p,k,y,g,e
s,f,n,f,n,f,c,n,n,e,?,s,s,w,w,p,w,o,p,n,v,u,e
x,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,l,n,y,u,e
b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e
?,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,?,?,k,?,g,e
x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,y,o,n,k,n,m,e
x,s,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,d,e
x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e
f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,a,g,e
x,s,y,t,a,f,c,b,?,e,c,s,s,w,w,p,w,o,p,?,n,g,e
b,s,e,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e
x,y,w,?,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e
x,f,n,f,n,f,w,b,p,t,e,f,s,?,w,p,w,o,e,k,s,g,e
b,s,y,t,l,f,c,b,n,e,c,s,s,w,n,p,w,o,p,w,n,g,e
f,y,y,t,l,a,c,b,w,e,r,?,y,w,w,?,w,o,?,n,s,g,e
x,y,?,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p,e
b,y,w,t,l,f,c,b,g,t,c,s,s,w,w,p,w,o,p,n,n,g,e
x,y,y,t,a,f,?,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,e
x,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g,e
b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,?,p,k,s,m,e
b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,y,o,p,n,s,m,e
x,s,y,t,a,f,c,b,?,e,c,s,s,w,w,p,w,o,p,k,n,w,e
x,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,e
s,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u,e
x,f,w,t,a,f,w,b,w,t,b,s,?,w,w,p,w,o,p,u,v,d,e
x,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,?,k,n,m,e
x,y,w,t,p,f,c,n,n,e,e,s,?,?,w,p,w,o,p,n,?,u,p
x,y,y,t,f,f,c,b,p,e,r,s,y,e,w,p,w,o,p,n,s,g,e
s,?,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,?,u,e
x,y,y,t,l,f,c,n,w,e,r,s,y,?,w,p,w,o,p,k,y,g,e
?,s,y,t,l,f,w,n,p,t,b,s,?,w,w,p,w,o,p,u,v,d,e
s,f,?,f,n,f,c,n,k,e,e,s,s,w,?,p,w,o,?,n,y,u,e
x,s,w,t,p,f,c,n,k,e,e,s,s,g,w,?,w,o,?,k,v,g,p
x,y,w,?,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
?,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,p
f,s,g,f,n,f,w,b,k,?,e,s,s,?,w,p,w,o,e,n,a,g,e
x,s,p,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,?,s,m,e
x,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,e
b,s,y,t,a,f,c,b,w,e,?,s,s,w,w,p,w,o,p,n,n,g,e
f,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,?,n,a,?,e
x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,?,o,p,k,n,g,e
b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e
b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
b,y,w,t,l,f,?,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m,e
f,s,w,t,l,f,w,n,w,?,b,s,s,w,w,p,w,o,p,b,v,d,e
x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,?,m,e
f,s,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,?,v,d,e
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,p
f,f,w,t,l,f,w,n,y,t,b,s,s,w,w,p,w,o,p,n,v,d,e
x,y,y,t,a,f,c,b,n,?,c,s,s,w,w,p,w,o,p,n,s,g,e
x,s,n,t,p,f,c,n,p,e,e,s,s,w,?,p,w,o,n,n,v,g,p
b,s,y,t,?,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,e
x,y,y,t,a,f,c,n,w,e,r,s,y,w,w,p,w,?,p,k,y,p,e
?,y,y,?,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e
s,f,n,f,n,f,c,n,?,?,e,s,?,?,w,p,w,o,p,n,v,u,e
f,y,n,t,?,f,c,b,w,e,r,s,y,w,w,p,n,o,p,k,y,p,e
x,y,y,t,a,f,?,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,e
x,f,c,f,n,f,?,?,k,t,e,f,f,w,w,p,w,o,e,k,?,?,e
f,f,y,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,e
x,?,y,t,l,f,c,b,w,t,c,s,s,w,w,p,w,o,p,n,n,m,e
b,s,n,t,?,f,c,b,b,?,c,s,s,w,w,p,w,o,p,k,n,g,e
s,y,w,t,a,f,c,b,g,e,c,y,s,w,w,p,w,o,?,k,n,m,e
x,y,w,t,a,?,?,b,w,e,?,s,s,w,w,p,w,o,p,n,s,g,e
x,s,n,f,n,f,w,b,p,t,?,f,s,w,w,p,w,o,e,n,a,g,e
x,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e
s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,?,p,k,v,?,e
x,s,w,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,e
x,y,n,f,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,?,s,g,e
b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,n,o,p,n,n,g,e
x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,?,o,p,n,n,g,e
b,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,p,e
b,s,y,t,a,f,c,b,?,e,c,s,s,?,o,p,w,o,p,k,s,g,e
b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e
b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e
?,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,e
f,y,n,t,l,f,?,b,n,e,r,s,y,w,w,p,w,o,p,n,y,g,e
x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e
f,y,y,t,l,f,c,b,w,?,r,s,y,w,w,p,w,o,p,n,y,p,e
b,?,w,t,a,f,c,b,w,?,c,s,y,w,w,p,w,o,p,n,s,g,e
b,s,w,t,a,a,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m,e
?,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g,e
b,s,w,?,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e
x,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u,e
b,s,y,t,?,f,c,b,k,e,c,s,?,w,?,p,w,o,p,?,s,g,e
x,f,y,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d,e
b,y,?,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
f,y,y,t,l,f,c,?,p,e,r,s,y,w,w,p,w,o,p,n,s,g,e
b,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e
b,y,w,t,?,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,?,m,e
b,y,y,t,a,f,?,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e
x,y,y,t,l,f,c,b,g,e,?,s,s,w,w,p,w,o,p,n,n,m,e
b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,p
s,f,n,f,n,f,c,n,g,e,e,s,?,w,w,p,w,o,p,n,y,u,e
f,f,n,f,n,f,c,n,g,e,?,s,s,w,w,p,w,o,p,k,v,u,e
x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
f,y,n,t,?,f,c,b,p,e,r,s,y,?,n,p,w,o,p,k,s,p,e
x,y,w,t,p,f,c,n,k,e,e,?,s,w,w,p,w,o,p,k,s,g,p
b,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
f,f,g,t,n,?,c,n,p,e,e,s,s,g,?,p,w,o,p,k,v,u,e
b,y,y,t,l,f,c,b,g,?,?,s,s,w,w,p,?,o,p,n,n,g,e
x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,?,p,e
x,f,w,f,n,?,w,b,r,t,b,s,f,w,w,p,w,o,e,k,s,g,e
?,s,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e
b,s,w,t,l,f,c,b,w,e,c,s,?,w,w,p,w,o,?,n,?,m,e
f,s,y,t,a,f,w,n,w,t,b,s,s,w,w,p,n,o,p,n,?,d,e
x,s,y,t,a,f,?,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,e
f,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u,e
b,s,y,t,a,?,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,e
?,s,w,t,l,f,c,b,g,e,c,s,?,w,w,p,w,o,p,n,n,m,e
x,y,w,t,l,?,c,b,n,?,c,s,s,w,w,p,w,o,p,n,s,m,e
f,s,w,t,a,?,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e
x,y,y,t,l,f,c,b,w,e,c,s,k,n,w,p,y,o,p,n,?,g,e
b,s,w,t,l,f,c,b,w,e,c,s,s,w,?,p,w,o,p,k,s,g,e
x,s,w,f,a,f,c,b,g,e,c,s,k,w,?,p,w,o,p,k,n,g,e
x,f,w,f,n,f,w,b,h,t,e,f,s,w,w,p,?,o,e,k,s,g,e
s,y,n,t,l,?,c,b,n,e,r,s,y,w,w,p,?,o,p,k,y,p,e
x,g,w,t,p,f,c,n,k,e,e,s,s,w,w,?,w,o,p,n,v,u,p
b,s,w,t,a,f,c,?,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e
b,s,w,t,a,f,c,b,k,e,c,s,f,w,w,p,w,o,p,k,s,m,e
b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e
b,y,w,t,a,f,c,b,w,e,c,s,s,?,w,p,w,o,p,k,n,g,e
x,s,y,t,a,f,?,b,w,e,c,s,s,w,o,p,w,?,p,k,s,g,e
b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,?,o,p,k,n,m,e
x,f,y,t,a,f,w,n,n,t,b,s,s,w,w,p,?,o,p,n,v,d,e
x,f,g,f,n,f,c,n,n,e,e,s,s,?,w,p,w,o,?,n,y,u,e
f,y,y,t,a,?,c,b,n,e,r,s,y,w,w,?,w,o,p,n,s,g,e
b,s,w,t,?,f,c,b,n,e,?,s,s,w,w,p,w,o,p,k,n,m,e
?,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e
x,y,y,t,a,f,c,b,k,e,c,f,s,w,?,p,w,o,p,k,s,g,e
x,y,?,t,l,f,c,?,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
s,f,g,f,n,f,c,?,r,e,e,s,s,w,w,p,w,o,?,n,v,u,e
x,s,w,t,a,f,c,b,n,?,c,s,s,w,w,p,w,o,p,n,n,?,e
x,s,w,t,p,f,c,n,g,?,e,s,s,w,w,p,?,o,p,k,s,g,p
x,y,y,t,a,f,c,n,?,e,r,s,y,w,w,p,w,n,p,n,s,g,e
f,f,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e
x,y,w,?,?,f,c,b,?,e,?,s,s,w,y,p,w,o,p,k,n,m,e
b,y,w,t,l,f,c,b,n,e,c,s,?,w,w,p,w,o,p,k,s,g,e
?,s,w,t,a,f,c,b,?,e,c,s,s,w,e,p,w,o,p,n,n,g,e
?,s,y,t,a,f,c,b,g,e,c,s,s,w,?,p,w,o,p,n,s,g,e
x,y,?,t,p,f,w,n,p,e,e,s,s,w,w,p,w,o,p,?,v,u,p
b,s,y,t,a,f,c,b,n,e,c,k,s,w,w,p,w,o,p,n,n,?,e
x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,y,u,e
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u,p
x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,?,w,o,p,n,y,p,e
f,y,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,e
b,s,w,t,l,f,c,b,k,e,c,?,s,w,c,p,w,o,p,n,n,g,e
x,f,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,t,p,o,y,d,e
x,y,w,t,l,f,c,b,w,e,c,s,?,w,w,p,w,o,p,k,s,m,e
b,y,y,t,l,f,?,b,n,e,c,?,s,w,w,p,w,o,p,n,s,g,e
k,y,y,t,l,f,c,b,n,e,r,s,y,w,w,?,w,?,p,k,s,g,e
f,y,y,t,a,f,c,b,?,e,r,s,?,w,w,p,w,?,p,?,s,p,e
f,f,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p,e
x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
x,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,a,m,e
x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u,p
f,f,w,t,a,f,w,?,p,t,b,s,s,w,w,p,w,o,p,u,v,d,e
x,s,?,t,l,f,c,b,w,e,?,s,s,w,w,p,w,o,p,n,s,u,e
x,s,?,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,e
x,y,w,t,a,f,c,b,?,e,c,s,s,o,?,p,w,o,p,k,s,m,e
f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p,e
x,s,n,f,n,f,w,b,p,t,e,k,s,w,w,p,w,o,e,k,s,g,e
f,y,y,t,a,f,c,b,w,e,?,s,y,w,w,p,w,o,p,n,y,g,e
x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g,p
s,f,n,f,n,f,c,?,g,e,e,s,s,w,?,p,w,o,p,n,v,u,e
b,y,y,t,l,?,c,b,p,e,c,s,s,w,w,p,w,o,p,n,s,m,e
b,?,w,f,l,f,c,b,n,e,c,f,s,w,w,p,w,n,p,h,s,g,e
b,?,?,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,e
f,f,n,f,n,f,c,n,k,e,e,?,s,w,w,p,w,o,p,n,v,u,e
x,s,w,t,a,f,c,?,w,e,c,k,s,w,w,p,w,o,p,k,n,m,e
b,y,?,t,l,f,c,b,g,e,c,s,s,b,w,p,w,o,p,k,n,g,e
b,?,w,t,a,f,c,b,g,e,?,s,s,w,w,p,w,o,p,n,n,d,e
f,y,n,t,l,f,c,b,?,e,r,s,y,w,n,p,w,?,p,n,?,g,e
?,y,w,t,p,f,c,n,k,?,e,s,s,w,w,p,w,o,p,k,v,g,p
x,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,n,o,e,n,n,g,e
x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e
f,f,w,t,l,f,w,n,w,t,?,s,s,w,w,p,w,o,p,u,v,d,e
f,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,v,u,e
f,s,g,f,n,f,w,b,p,?,e,s,s,w,w,p,w,o,e,k,a,g,e
x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
?,s,w,t,a,?,c,b,?,e,c,s,s,w,w,p,w,o,p,n,s,m,e
k,y,n,t,p,f,?,n,w,e,e,s,s,?,w,p,w,?,p,k,s,u,p
x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,n,o,p,k,n,m,e
f,s,n,t,p,f,c,n,w,e,e,s,?,w,w,p,o,o,p,k,v,u,p
x,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e
x,y,y,t,a,f,c,?,k,e,c,s,k,w,w,p,w,?,p,n,n,m,e
f,y,y,t,a,f,c,?,n,e,r,s,y,w,w,p,?,o,p,n,?,p,e
x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,?,n,s,p,e
f,y,n,?,a,f,?,b,w,e,r,s,y,w,w,p,?,o,p,n,y,l,e
x,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e
f,f,n,f,n,f,w,b,?,t,e,s,s,w,w,p,w,o,e,k,s,g,e
x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,e
x,y,w,t,p,f,?,n,w,e,e,s,s,w,w,p,w,o,p,?,s,g,p
b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e
s,f,n,f,n,f,c,n,p,e,e,?,s,w,w,p,w,o,p,k,v,u,e
x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,n,o,p,k,s,m,e
b,y,w,t,l,f,w,b,n,e,c,s,s,w,w,p,y,o,p,k,n,m,e
f,y,n,t,a,f,c,b,n,e,r,s,f,w,w,p,w,o,?,k,s,g,e
b,y,?,t,f,f,c,?,g,e,?,s,s,w,w,p,w,o,p,k,s,m,e
b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,?,k,s,g,e
x,y,n,t,l,f,c,b,?,e,r,s,y,w,w,p,w,o,n,n,?,p,e
f,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,n,u,e
x,f,?,f,n,f,c,n,g,e,?,s,?,w,?,p,n,o,f,k,y,u,e
b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,e
x,s,y,t,l,f,c,b,n,e,c,s,s,?,w,p,w,o,p,k,s,m,e
b,y,w,t,l,f,c,b,k,e,c,s,?,w,?,p,w,o,p,n,s,g,e
x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,?,?,o,p,k,s,m,e
b,s,y,t,a,f,c,b,g,e,?,s,s,w,w,p,w,o,p,n,n,m,e
x,s,y,t,a,f,c,b,k,e,e,s,s,w,w,p,w,o,p,k,s,m,e
x,f,g,f,n,f,w,b,p,t,e,f,f,?,w,p,w,o,e,k,s,g,e
